product_id,title,collection,material,width_cm,length_cm,pile_height_mm,primary_hex,knot_density_dm2,is_active
MRP-8001,Drift Serisi No 1,Prestij,wool,160.0,230.0,18.5,#2B3A42,650,True
MRP-8002,Drift Serisi No 2,Prestij,acrylic,200.0,290.0,19.0,#1A252C,550,True
MRP-8003,Drift Serisi No 3,Prestij,viscose,120.0,180.0,17.5,#4A5568,600,True
MRP-8004,Drift Serisi No 4,Usak,wool,200.0,300.0,18.0,#800020,700,True
MRP-8005,Drift Serisi No 5,Usak,cotton,150.0,220.0,17.0,#D4AF37,500,True
MRP-8006,Drift Serisi No 6,Usak,wool,240.0,340.0,19.5,#8B0000,750,True
MRP-8007,Drift Serisi No 7,Elegance,bamboo,160.0,230.0,17.0,#E2E8F0,800,True
MRP-8008,Drift Serisi No 8,Elegance,viscose,200.0,290.0,18.5,#2E8B57,650,True
MRP-8009,Drift Serisi No 9,Elegance,polyester,140.0,200.0,20.0,#1E3A8A,580,True
MRP-8010,Drift Serisi No 10,Vintage,acrylic,160.0,230.0,17.5,#718096,520,True
MRP-8011,Drift Serisi No 11,Vintage,wool,180.0,280.0,18.0,#A0AEC0,620,True
MRP-8012,Drift Serisi No 12,Vintage,cotton,120.0,180.0,17.0,#CBD5E1,480,True
MRP-8013,Drift Serisi No 13,ModernLine,bamboo,200.0,290.0,21.0,#319795,720,True
MRP-8014,Drift Serisi No 14,ModernLine,polyester,160.0,230.0,22.0,#2D3748,510,True
MRP-8015,Drift Serisi No 15,ModernLine,acrylic,140.0,200.0,19.0,#4FD1C5,530,True
MRP-8016,Drift Serisi No 16,AkrilikSoft,acrylic,160.0,230.0,20.5,#ED8936,540,True
MRP-8017,Drift Serisi No 17,AkrilikSoft,acrylic,120.0,180.0,19.5,#F6AD55,520,True
MRP-8018,Drift Serisi No 18,AkrilikSoft,polyester,100.0,150.0,18.5,#FBD38D,500,True
MRP-8019,Drift Serisi No 19,Prestij,wool,250.0,350.0,19.0,#4A154B,780,True
MRP-8020,Drift Serisi No 20,Elegance,bamboo,160.0,230.0,18.0,#F7FAFC,820,True
