product_id,raw_width,raw_length,dimension_unit,pile_height_mm,loom_machine_id,shift,production_date
MRP-1001,160.0,230.0,cm,11.5,LOOM-01,MORNING,2026-08-01
MRP-1002,200.0,290.0,cm,12.0,LOOM-01,NIGHT,2026-08-01
MRP-2001,78.74,118.11,inch,9.0,LOOM-03,MORNING,2026-08-02
MRP-2002,120.0,180.0,cm,10.0,LOOM-02,AFTERNOON,2026-08-02
MRP-3001,118.11,177.16,inch,14.0,LOOM-04,MORNING,2026-08-03
MRP-3002,80.0,150.0,cm,8.5,LOOM-02,NIGHT,2026-08-03
MRP-4001,100.0,200.0,cm,10.5,LOOM-01,MORNING,2026-08-04
MRP-4002,140.0,200.0,cm,11.0,LOOM-03,AFTERNOON,2026-08-04
MRP-5001,240.0,340.0,cm,13.0,LOOM-04,NIGHT,2026-08-05
MRP-5002,80.0,300.0,cm,7.5,LOOM-02,MORNING,2026-08-05
