yarn_tensile_strength,yarn_elongation_at_break,yarn_hairiness_index,twist_per_meter,yarn_linear_density_dtex,loom_rpm,loom_tension_variation,ambient_relative_humidity,ambient_temperature_c,weft_insertion_rate,defect_class,defect_name
14.74,9.64,6.32,443.3,2329.9,470.4,55.19,55.2,27.2,515.9,0,YARN_BREAKAGE
25.46,25.56,9.82,515.1,2116.8,679.1,12.05,32.1,39.6,527.0,1,OIL_STAIN
19.57,10.03,9.06,412.0,2059.8,628.2,30.89,35.4,39.2,479.8,1,OIL_STAIN
29.96,14.65,10.28,438.9,2145.1,607.1,21.98,34.0,36.8,510.1,1,OIL_STAIN
10.91,10.95,4.76,477.9,2095.1,604.0,46.91,57.8,21.3,449.3,0,YARN_BREAKAGE
15.16,8.02,4.66,401.3,2477.9,683.8,44.28,47.3,19.9,552.6,0,YARN_BREAKAGE
28.07,16.6,4.75,306.5,1835.8,562.2,41.29,71.4,24.2,579.0,3,BORDER_SEWING_DEFECT
27.07,11.07,4.35,273.7,1749.7,635.1,37.14,52.2,32.1,464.3,3,BORDER_SEWING_DEFECT
15.2,5.91,3.91,527.0,2486.1,556.6,43.44,55.6,21.5,488.6,0,YARN_BREAKAGE
15.3,4.81,4.75,442.6,2074.8,579.1,36.08,47.5,24.7,507.8,0,YARN_BREAKAGE
20.38,24.09,4.05,493.7,2550.5,684.7,19.77,64.6,28.0,605.7,2,JACQUARD_PATTERN_SHIFT
24.71,16.3,4.73,368.9,2846.2,765.3,41.03,58.6,23.4,657.5,2,JACQUARD_PATTERN_SHIFT
11.11,7.71,3.58,500.3,1993.3,614.3,48.42,60.5,21.1,619.4,0,YARN_BREAKAGE
15.92,10.99,6.09,425.7,2156.6,676.2,49.92,46.4,32.3,655.2,0,YARN_BREAKAGE
25.77,13.86,6.48,273.5,2025.1,629.6,38.15,68.8,27.9,533.9,3,BORDER_SEWING_DEFECT
26.27,15.95,2.29,395.7,2689.2,743.0,27.12,46.3,19.8,661.9,2,JACQUARD_PATTERN_SHIFT
21.61,13.37,9.4,427.2,2202.4,560.0,28.82,41.8,32.5,536.6,1,OIL_STAIN
15.79,6.03,5.57,455.8,2088.3,585.8,42.82,49.8,20.4,601.4,0,YARN_BREAKAGE
20.39,12.66,5.88,539.0,2563.4,680.5,43.31,56.9,22.7,633.6,2,JACQUARD_PATTERN_SHIFT
23.54,17.98,3.93,482.6,2390.8,660.5,17.67,54.5,24.4,607.0,2,JACQUARD_PATTERN_SHIFT
13.64,5.84,7.7,495.0,2163.3,496.4,54.13,59.5,26.5,462.5,0,YARN_BREAKAGE
24.73,16.63,11.24,525.8,2207.5,598.7,37.49,41.8,30.3,529.8,1,OIL_STAIN
11.09,7.46,3.14,429.8,2257.4,555.6,40.7,50.6,25.9,450.4,0,YARN_BREAKAGE
15.68,8.44,7.45,469.1,2193.1,595.7,41.8,62.5,24.2,548.7,0,YARN_BREAKAGE
20.55,10.86,6.05,299.5,1891.4,606.2,35.37,55.2,25.1,540.7,3,BORDER_SEWING_DEFECT
13.33,12.2,6.21,290.5,1675.3,629.7,43.66,51.6,21.7,428.7,3,BORDER_SEWING_DEFECT
10.0,9.54,4.37,509.4,2500.6,654.7,24.3,71.6,20.3,697.5,2,JACQUARD_PATTERN_SHIFT
14.58,6.18,6.2,405.4,2372.5,590.0,44.26,52.2,27.1,567.6,0,YARN_BREAKAGE
22.44,15.83,5.59,364.1,2771.5,767.7,22.59,56.0,21.8,650.9,2,JACQUARD_PATTERN_SHIFT
26.08,12.77,9.22,391.5,2139.8,595.3,37.19,35.8,34.5,524.2,1,OIL_STAIN
10.71,10.89,4.81,462.9,2067.3,581.8,52.41,55.0,26.1,648.6,0,YARN_BREAKAGE
11.89,6.73,4.53,333.0,2324.6,610.3,35.8,66.1,20.6,551.1,0,YARN_BREAKAGE
29.54,13.31,5.93,303.9,1667.6,718.6,33.61,57.4,22.6,549.3,3,BORDER_SEWING_DEFECT
11.77,9.69,1.5,423.1,2151.3,613.0,41.81,53.6,23.2,487.8,0,YARN_BREAKAGE
13.4,9.23,3.97,391.6,2155.5,641.1,41.73,57.2,20.9,491.9,0,YARN_BREAKAGE
22.78,16.89,5.54,560.6,2813.2,709.4,20.73,60.9,26.4,674.2,2,JACQUARD_PATTERN_SHIFT
21.14,21.69,5.89,273.6,2033.7,566.6,44.1,54.1,22.1,520.9,3,BORDER_SEWING_DEFECT
15.58,5.45,4.61,453.3,2384.6,628.7,43.6,60.6,20.5,467.1,0,YARN_BREAKAGE
13.81,4.54,4.45,438.5,2233.6,634.9,45.25,62.5,25.0,532.4,0,YARN_BREAKAGE
11.82,9.53,5.24,414.2,2053.9,685.9,40.31,55.0,26.9,464.7,0,YARN_BREAKAGE
16.36,10.61,5.18,423.5,2249.1,630.8,40.11,54.7,25.0,547.5,0,YARN_BREAKAGE
12.96,6.53,2.59,343.3,2224.2,591.1,46.17,55.8,26.1,522.3,0,YARN_BREAKAGE
11.21,5.44,3.91,362.9,2259.7,613.1,53.29,58.1,30.8,479.1,0,YARN_BREAKAGE
21.98,20.81,4.31,315.9,1848.5,560.5,39.62,61.3,23.5,512.5,3,BORDER_SEWING_DEFECT
15.89,5.46,5.97,330.6,2182.4,574.7,37.99,52.4,24.2,531.1,0,YARN_BREAKAGE
25.64,18.8,3.92,454.1,2690.8,739.0,32.94,48.0,20.3,649.6,2,JACQUARD_PATTERN_SHIFT
17.22,7.18,7.0,319.0,2216.7,525.0,47.23,53.7,18.7,476.9,0,YARN_BREAKAGE
21.17,21.68,6.94,379.1,2122.1,634.3,25.94,46.2,37.2,559.8,1,OIL_STAIN
20.41,14.11,5.7,410.9,2432.8,768.6,35.37,70.3,25.4,653.0,2,JACQUARD_PATTERN_SHIFT
15.85,20.23,10.1,431.1,2391.0,568.3,26.4,37.0,36.9,604.8,1,OIL_STAIN
