yarn_tensile_strength,yarn_elongation_at_break,yarn_hairiness_index,twist_per_meter,yarn_linear_density_dtex,loom_rpm,loom_tension_variation,ambient_relative_humidity,ambient_temperature_c,weft_insertion_rate,defect_class,defect_name
30.22,17.69,4.21,438.8,2418.5,706.3,26.08,61.1,25.9,636.4,2,JACQUARD_PATTERN_SHIFT
20.08,18.28,5.92,419.1,2150.6,605.0,23.03,40.0,32.6,548.3,1,OIL_STAIN
26.88,16.9,5.27,450.8,2642.3,731.0,25.61,60.1,26.1,576.9,2,JACQUARD_PATTERN_SHIFT
16.84,10.89,5.04,454.2,2243.9,608.9,40.97,60.7,22.8,471.7,0,YARN_BREAKAGE
20.46,16.95,3.67,312.5,1871.6,599.8,15.74,68.2,24.2,520.5,3,BORDER_SEWING_DEFECT
28.43,18.82,8.7,450.8,2176.4,656.6,24.04,42.8,32.0,586.1,1,OIL_STAIN
28.63,14.95,7.75,444.4,2162.2,579.0,21.81,44.5,30.9,483.2,1,OIL_STAIN
28.57,13.16,3.87,451.6,2581.7,684.8,20.1,56.7,25.6,606.3,2,JACQUARD_PATTERN_SHIFT
15.24,10.97,3.54,434.3,2202.2,587.3,43.07,64.9,22.6,499.4,0,YARN_BREAKAGE
29.15,17.0,3.91,333.2,1906.9,568.7,20.15,64.2,21.9,534.4,3,BORDER_SEWING_DEFECT
24.6,17.26,3.26,333.9,1971.4,569.9,20.51,55.9,24.6,525.5,3,BORDER_SEWING_DEFECT
13.65,9.64,3.8,420.4,2196.9,567.4,45.49,62.3,22.8,454.5,0,YARN_BREAKAGE
14.51,8.95,4.32,442.7,2155.1,639.4,45.63,60.3,21.5,526.3,0,YARN_BREAKAGE
25.19,16.86,3.91,470.5,2473.0,681.7,25.16,61.3,22.2,653.4,2,JACQUARD_PATTERN_SHIFT
20.31,14.89,4.36,294.8,1999.1,596.0,24.49,60.3,22.5,465.9,3,BORDER_SEWING_DEFECT
29.31,17.58,8.09,463.4,2222.4,619.4,14.27,40.7,32.2,538.4,1,OIL_STAIN
26.85,20.04,6.05,451.5,2269.8,625.8,20.55,44.6,32.9,504.4,1,OIL_STAIN
11.97,10.45,5.02,403.5,2224.2,609.8,37.97,54.2,23.8,518.9,0,YARN_BREAKAGE
21.33,11.93,4.46,312.3,1899.2,629.9,19.81,59.6,23.1,496.0,3,BORDER_SEWING_DEFECT
26.59,14.25,4.44,351.7,2029.5,563.9,16.1,63.9,21.5,433.7,3,BORDER_SEWING_DEFECT
12.04,7.88,4.02,409.2,2277.2,610.3,43.48,64.6,23.7,519.0,0,YARN_BREAKAGE
13.75,11.07,5.57,431.4,2197.0,585.9,41.32,62.8,22.9,501.5,0,YARN_BREAKAGE
23.98,14.36,8.1,422.1,2316.0,639.1,22.82,49.1,34.3,514.2,1,OIL_STAIN
23.81,18.69,5.14,435.4,2466.2,693.6,27.58,66.0,29.3,630.1,2,JACQUARD_PATTERN_SHIFT
23.11,17.74,7.62,442.2,2171.9,639.7,22.76,42.4,30.1,522.5,1,OIL_STAIN
19.36,15.63,3.32,264.3,1950.2,593.6,21.99,63.2,26.4,538.9,3,BORDER_SEWING_DEFECT
24.74,16.52,4.1,336.4,1998.6,598.0,21.1,61.0,23.1,497.2,3,BORDER_SEWING_DEFECT
23.04,24.89,7.74,423.4,2300.2,643.5,21.23,43.4,33.1,551.2,1,OIL_STAIN
16.8,10.48,4.24,395.6,2354.1,634.5,43.94,68.2,21.6,525.4,0,YARN_BREAKAGE
25.93,20.8,7.46,423.8,2302.3,620.9,22.43,40.3,29.4,577.8,1,OIL_STAIN
26.38,16.24,7.07,420.7,2239.7,629.4,19.52,39.9,30.0,530.3,1,OIL_STAIN
25.58,19.02,4.64,450.3,2537.2,699.6,23.64,61.6,22.1,654.9,2,JACQUARD_PATTERN_SHIFT
15.37,12.59,3.78,436.4,2045.8,581.8,39.6,63.8,21.6,509.5,0,YARN_BREAKAGE
20.5,15.57,4.48,305.1,1954.8,614.2,17.18,61.9,25.1,536.9,3,BORDER_SEWING_DEFECT
14.01,8.81,4.59,398.5,2021.0,636.8,40.4,66.3,26.4,512.6,0,YARN_BREAKAGE
27.85,20.44,7.28,466.8,2197.9,613.2,17.89,38.2,33.1,582.7,1,OIL_STAIN
28.66,18.85,3.65,400.1,2449.8,689.2,26.06,60.3,27.2,646.1,2,JACQUARD_PATTERN_SHIFT
13.36,9.62,4.32,422.5,2096.1,556.2,38.62,56.3,22.7,483.8,0,YARN_BREAKAGE
16.63,11.71,5.36,455.5,2127.7,606.3,33.8,55.5,22.8,486.9,0,YARN_BREAKAGE
22.12,20.14,6.94,467.2,2225.1,685.5,20.89,39.2,30.1,487.8,1,OIL_STAIN
15.35,12.27,4.6,417.4,2097.2,595.6,41.24,61.8,18.1,471.2,0,YARN_BREAKAGE
12.61,9.79,5.21,442.4,2177.7,613.4,42.88,58.9,28.3,461.8,0,YARN_BREAKAGE
18.66,9.69,4.41,413.7,2213.9,620.9,41.5,64.8,22.2,474.6,0,YARN_BREAKAGE
15.7,10.13,4.02,408.8,2305.6,636.5,43.66,61.1,23.1,530.9,0,YARN_BREAKAGE
27.85,15.64,4.82,464.9,2497.9,697.5,26.83,65.0,24.5,611.8,2,JACQUARD_PATTERN_SHIFT
28.0,18.46,3.54,448.6,2415.4,701.2,25.7,69.3,23.9,620.4,2,JACQUARD_PATTERN_SHIFT
25.93,16.51,4.13,318.1,2070.6,624.3,16.67,59.7,24.5,519.0,3,BORDER_SEWING_DEFECT
11.55,11.22,4.43,447.0,2173.3,617.9,41.29,64.0,24.5,461.3,0,YARN_BREAKAGE
22.17,15.47,3.47,306.6,1917.4,549.8,14.93,65.3,20.8,496.4,3,BORDER_SEWING_DEFECT
31.18,21.67,4.53,432.8,2416.5,739.1,23.21,56.6,23.1,632.2,2,JACQUARD_PATTERN_SHIFT
