yarn_tensile_strength,yarn_elongation_at_break,yarn_hairiness_index,twist_per_meter,yarn_linear_density_dtex,loom_rpm,loom_tension_variation,ambient_relative_humidity,ambient_temperature_c,weft_insertion_rate,defect_class,defect_name,is_anomaly
28.65,17.04,6.4,402.9,2187.9,641.4,23.5,43.8,29.7,528.9,1,OIL_STAIN,False
24.18,16.1,2.98,343.0,2096.3,663.4,21.48,65.6,21.1,511.8,3,BORDER_SEWING_DEFECT,False
24.52,16.3,7.63,434.8,2291.9,623.8,20.87,38.4,34.0,528.3,1,OIL_STAIN,False
26.08,14.96,4.52,317.6,1946.9,621.6,21.19,59.5,25.0,548.7,3,BORDER_SEWING_DEFECT,False
28.07,25.23,4.78,511.8,1805.3,822.2,81.74,34.9,27.1,693.1,-1,ANOMALOUS_NOISE,True
18.13,10.01,4.51,454.0,2329.3,602.3,40.51,62.9,22.0,505.4,0,YARN_BREAKAGE,False
27.2,21.03,7.42,434.7,2308.8,636.3,19.75,42.9,33.2,526.0,1,OIL_STAIN,False
21.61,13.93,7.0,432.4,2368.6,606.4,23.48,39.3,31.7,554.0,1,OIL_STAIN,False
13.8,7.17,3.92,429.7,2125.3,632.4,35.23,59.0,20.8,508.3,0,YARN_BREAKAGE,False
14.93,9.38,5.43,466.3,2098.8,621.4,40.63,61.2,20.7,550.2,0,YARN_BREAKAGE,False
15.72,8.17,5.65,430.6,2198.0,610.6,46.98,61.5,23.1,528.8,0,YARN_BREAKAGE,False
14.22,9.76,4.79,459.5,2341.8,646.3,44.37,52.6,26.3,495.0,0,YARN_BREAKAGE,False
24.68,15.76,4.19,323.0,1932.7,597.9,19.5,65.0,23.3,570.5,3,BORDER_SEWING_DEFECT,False
15.19,8.83,4.33,407.5,2219.4,612.5,40.56,60.1,25.1,531.3,0,YARN_BREAKAGE,False
24.57,11.23,3.32,315.0,1975.2,583.1,17.08,64.2,20.6,538.8,3,BORDER_SEWING_DEFECT,False
12.8,12.15,11.04,403.2,1721.9,738.1,84.42,51.0,35.7,738.7,-1,ANOMALOUS_NOISE,True
16.09,9.39,7.58,424.9,2261.2,580.9,47.98,66.5,21.7,589.9,0,YARN_BREAKAGE,False
27.48,16.34,3.27,442.7,2463.6,695.9,19.78,54.8,22.8,555.2,2,JACQUARD_PATTERN_SHIFT,False
26.24,16.95,8.33,406.3,2404.9,646.7,18.5,41.9,31.0,539.2,1,OIL_STAIN,False
25.07,18.04,4.75,458.6,2408.6,686.8,25.39,67.6,22.7,618.6,2,JACQUARD_PATTERN_SHIFT,False
28.18,15.5,7.49,490.3,2194.9,640.3,25.05,42.4,30.7,575.7,1,OIL_STAIN,False
23.08,15.06,4.68,446.8,2367.5,711.4,25.19,63.8,24.2,620.2,2,JACQUARD_PATTERN_SHIFT,False
22.99,14.22,3.41,346.8,1911.7,641.3,20.74,62.8,22.1,522.8,3,BORDER_SEWING_DEFECT,False
28.02,19.43,2.89,473.9,2558.7,761.4,22.67,56.7,26.4,669.5,2,JACQUARD_PATTERN_SHIFT,False
16.86,8.43,4.11,404.9,2156.6,595.6,42.24,71.2,22.4,558.5,0,YARN_BREAKAGE,False
21.65,15.06,4.85,316.5,1926.4,677.9,17.11,60.0,20.8,527.1,3,BORDER_SEWING_DEFECT,False
13.32,12.3,5.51,429.5,2211.4,592.9,42.06,60.5,21.8,535.3,0,YARN_BREAKAGE,False
24.82,18.04,5.18,439.9,2460.4,715.3,20.06,52.0,27.9,599.0,2,JACQUARD_PATTERN_SHIFT,False
30.59,17.85,3.86,449.0,2645.5,673.8,25.75,56.6,25.4,628.3,2,JACQUARD_PATTERN_SHIFT,False
11.02,13.58,4.19,409.8,2309.6,650.0,47.09,61.1,25.9,547.8,0,YARN_BREAKAGE,False
24.1,14.97,3.97,331.7,2026.1,553.2,17.79,51.6,24.0,515.2,3,BORDER_SEWING_DEFECT,False
24.05,23.01,6.89,413.4,2244.6,678.0,23.05,44.2,27.6,516.4,1,OIL_STAIN,False
29.15,17.34,3.98,470.7,2536.8,676.2,26.69,58.4,26.3,618.7,2,JACQUARD_PATTERN_SHIFT,False
28.2,13.02,7.57,430.9,2363.4,542.3,22.44,43.7,31.3,550.5,1,OIL_STAIN,False
24.51,13.45,3.0,312.0,1883.4,561.6,21.3,61.3,23.8,470.0,3,BORDER_SEWING_DEFECT,False
27.15,14.53,6.79,458.6,2258.0,640.0,17.87,43.3,31.5,568.6,1,OIL_STAIN,False
29.09,12.88,5.67,448.8,2507.3,704.3,25.37,57.3,25.3,632.5,2,JACQUARD_PATTERN_SHIFT,False
15.39,7.65,5.18,415.9,2215.6,589.8,36.82,63.1,23.1,508.1,0,YARN_BREAKAGE,False
24.6,18.49,6.84,428.9,2144.3,570.3,24.94,43.4,29.5,534.2,1,OIL_STAIN,False
28.48,19.0,5.07,429.6,2513.8,686.9,25.79,64.0,22.3,616.8,2,JACQUARD_PATTERN_SHIFT,False
16.64,10.74,4.87,410.8,2200.1,532.6,38.89,50.1,27.1,468.3,0,YARN_BREAKAGE,False
15.17,9.52,4.66,451.8,2266.1,618.2,37.56,54.4,22.5,511.4,0,YARN_BREAKAGE,False
7.48,5.89,3.75,649.6,1695.5,563.5,70.86,82.5,40.5,537.8,-1,ANOMALOUS_NOISE,True
12.88,10.21,3.98,413.1,2277.4,567.6,40.29,49.5,22.0,459.0,0,YARN_BREAKAGE,False
23.93,18.24,8.31,453.9,2413.2,559.7,21.73,46.0,33.1,555.0,1,OIL_STAIN,False
29.45,14.12,5.08,294.5,1882.9,600.0,20.26,64.1,25.4,515.7,3,BORDER_SEWING_DEFECT,False
30.43,20.99,7.71,405.8,2339.1,651.8,26.16,43.7,33.2,573.8,1,OIL_STAIN,False
30.1,18.38,3.62,458.3,2392.0,731.2,25.0,59.9,25.5,606.2,2,JACQUARD_PATTERN_SHIFT,False
24.06,16.4,3.7,318.6,1967.9,627.6,22.07,67.9,26.3,453.3,3,BORDER_SEWING_DEFECT,False
13.88,9.95,5.11,430.5,2160.1,636.4,42.52,63.5,20.5,533.4,0,YARN_BREAKAGE,False
15.18,9.1,4.56,484.7,2466.3,558.2,45.74,57.6,23.5,477.5,0,YARN_BREAKAGE,False
15.5,14.11,3.58,295.4,1972.5,604.9,19.01,72.4,22.8,526.4,3,BORDER_SEWING_DEFECT,False
15.99,7.38,4.79,409.3,2092.4,642.4,45.03,55.4,25.4,536.1,0,YARN_BREAKAGE,False
12.18,10.63,4.57,426.7,2225.4,636.3,42.9,57.7,25.6,530.8,0,YARN_BREAKAGE,False
25.74,17.09,4.91,306.9,1938.6,582.0,19.22,57.4,23.8,520.8,3,BORDER_SEWING_DEFECT,False
27.15,22.05,4.67,451.7,2386.3,717.0,24.29,59.7,25.1,643.6,2,JACQUARD_PATTERN_SHIFT,False
27.5,17.62,2.99,440.7,2437.6,719.3,26.04,63.9,20.0,636.6,2,JACQUARD_PATTERN_SHIFT,False
30.51,18.37,3.4,433.5,2581.7,734.9,19.31,58.9,23.2,608.8,2,JACQUARD_PATTERN_SHIFT,False
14.4,11.68,4.02,434.6,2244.9,637.0,49.01,56.8,23.9,452.3,0,YARN_BREAKAGE,False
17.96,7.89,5.77,376.9,2091.5,632.1,39.9,59.9,22.5,496.0,0,YARN_BREAKAGE,False
22.33,12.91,3.3,316.6,2025.3,612.4,20.03,62.5,20.2,507.2,3,BORDER_SEWING_DEFECT,False
28.09,19.77,7.54,453.4,2319.7,619.0,20.31,44.4,28.3,536.8,1,OIL_STAIN,False
15.22,12.79,5.37,399.6,2329.5,546.8,39.96,57.1,26.4,479.3,0,YARN_BREAKAGE,False
23.25,17.29,4.44,300.4,2043.2,552.7,19.71,61.6,22.6,478.5,3,BORDER_SEWING_DEFECT,False
26.23,17.26,6.52,405.7,2229.3,635.3,20.63,40.8,30.9,559.7,1,OIL_STAIN,False
29.26,15.03,3.3,304.5,1935.3,598.0,22.56,57.6,23.6,519.3,3,BORDER_SEWING_DEFECT,False
21.4,16.38,2.95,449.3,2426.6,685.1,26.54,59.8,22.8,638.8,2,JACQUARD_PATTERN_SHIFT,False
14.77,7.09,4.9,436.1,2054.6,628.5,40.96,54.9,21.3,544.5,0,YARN_BREAKAGE,False
22.15,16.84,7.22,399.7,2241.2,577.5,18.77,43.7,32.9,545.8,1,OIL_STAIN,False
20.19,13.64,3.83,313.5,1954.5,579.6,23.6,66.5,20.2,498.1,3,BORDER_SEWING_DEFECT,False
31.18,21.08,7.33,441.6,2156.4,612.0,28.56,39.7,31.8,602.2,1,OIL_STAIN,False
23.72,14.85,3.28,279.1,1969.4,513.4,21.31,58.3,23.0,511.5,3,BORDER_SEWING_DEFECT,False
29.18,18.85,4.49,441.6,2460.5,694.8,27.25,62.6,20.3,636.4,2,JACQUARD_PATTERN_SHIFT,False
27.72,17.36,3.73,463.2,2425.0,702.5,24.78,59.2,20.3,595.8,2,JACQUARD_PATTERN_SHIFT,False
15.14,11.6,5.05,409.5,2200.1,586.8,49.53,51.3,28.1,529.0,0,YARN_BREAKAGE,False
14.08,7.64,4.12,393.8,2249.3,630.2,31.21,58.9,24.1,479.2,0,YARN_BREAKAGE,False
26.12,13.58,3.87,460.7,2441.5,737.4,25.01,57.8,19.0,588.6,2,JACQUARD_PATTERN_SHIFT,False
14.34,7.63,5.18,475.8,2151.1,621.7,44.46,51.6,25.8,504.5,0,YARN_BREAKAGE,False
24.34,15.23,9.34,541.6,2211.2,642.3,69.68,39.8,13.3,516.9,-1,ANOMALOUS_NOISE,True
8.0,16.02,4.5,487.8,2424.9,574.6,67.61,44.5,44.3,431.6,-1,ANOMALOUS_NOISE,True
14.38,10.21,3.93,422.8,2137.2,594.9,41.9,58.9,24.4,538.7,0,YARN_BREAKAGE,False
14.59,12.64,6.34,583.2,2202.8,820.9,77.94,48.1,42.0,371.8,-1,ANOMALOUS_NOISE,True
13.91,10.38,4.12,404.8,2271.6,583.3,48.37,58.9,22.6,560.9,0,YARN_BREAKAGE,False
15.63,7.75,4.31,422.2,2229.3,575.8,44.9,58.8,25.3,530.6,0,YARN_BREAKAGE,False
14.86,10.73,5.81,435.6,2269.1,538.7,40.98,57.8,24.1,504.7,0,YARN_BREAKAGE,False
20.99,18.05,6.27,470.5,2305.3,563.1,19.04,41.8,31.9,554.9,1,OIL_STAIN,False
18.7,9.6,4.67,407.6,2056.9,551.8,48.12,53.1,21.7,581.4,0,YARN_BREAKAGE,False
13.38,9.16,6.21,411.0,2159.5,616.4,37.11,60.8,24.9,524.9,0,YARN_BREAKAGE,False
31.13,19.18,5.2,480.7,2345.6,708.4,25.84,60.8,25.3,690.3,2,JACQUARD_PATTERN_SHIFT,False
29.11,17.52,3.3,291.1,1955.1,635.9,23.05,59.8,23.3,476.9,3,BORDER_SEWING_DEFECT,False
21.05,19.74,5.53,326.5,1954.1,546.6,22.6,62.7,20.2,532.8,3,BORDER_SEWING_DEFECT,False
26.78,13.69,7.84,459.0,2448.1,596.1,20.76,36.6,33.2,520.4,1,OIL_STAIN,False
27.5,14.8,3.57,450.4,2500.6,675.6,22.89,61.1,23.3,632.1,2,JACQUARD_PATTERN_SHIFT,False
22.77,15.62,3.53,499.9,2597.1,682.9,22.13,61.1,24.3,592.1,2,JACQUARD_PATTERN_SHIFT,False
23.48,16.91,3.32,453.6,2537.3,722.0,25.95,56.3,24.3,616.6,2,JACQUARD_PATTERN_SHIFT,False
